Name,Country,Amount,Plan,Date,,,,,,,,,,
Sara,India,5490,Premium,01-01-2024,,,,,,,,,,
Unknown,UK,6365,Premium,03-05-2024,,,,,,,,,,
John,UK,8422,Standard,01-01-2024,,,,,,,,,,
Amit,Unknown,7049,Standard,01-01-2024,,,,,,,,,,
Praful,Unknown,3485,Standard,01-01-2024,,,,,,,,,Row Labels,Sum of Amount
Sara,India,8766,Premium,03-05-2024,,,,,,,,,Basic,24979688
Amit,Unknown,2847,Basic,03-05-2024,,Row Labels,Sum of Amount,,,,,,Premium,12538497
John,Unknown,7834,Basic,01-01-2024,,India,12996616,,,,,,Standard,12554922
John,India,3990,Premium,01-01-2024,,UK,12267473,,,,,,Grand Total,50073107
Praful,UK,5493,Basic,01-01-2024,,Unknown,12367774,,,,,,,
Sara,USA,8533,Standard,01-01-2024,,USA,12441244,,,,,,,
Amit,India,7141,Basic,03-05-2024,,Grand Total,50073107,,,,,,,
Sara,UK,875,Premium,03-05-2024,,,,,,,,,Row Labels,Sum of Amount
Praful,Unknown,1685,Basic,01-02-2024,,,,,,,,,Amit,10105391
Amit,Unknown,8089,Basic,03-05-2024,,,,,,,,,John,9774781
Amit,USA,5775,Standard,01-02-2024,,,,,,,,,Praful,10073861
Sara,USA,7729,Premium,01-01-2024,,,,,,,,,Sara,9938801
Unknown,Unknown,8016,Standard,03-05-2024,,,,,,,,,Unknown,10180273
Unknown,Unknown,4959,Basic,01-01-2024,,,,,,,,,Grand Total,50073107
Praful,India,2162,Basic,01-01-2024,,,,,,,,,,
Praful,UK,2668,Basic,01-01-2024,,,,,,,,,,
Sara,Unknown,9787,Premium,03-05-2024,,,,,,,,,,
John,India,491,Premium,03-05-2024,,,,,,,,,,
Praful,UK,5992,Standard,03-05-2024,,,,,,,,,,
Amit,India,3199,Premium,01-01-2024,,,,,,,,,,
Sara,USA,3204,Basic,03-05-2024,,,,,,,,,,
Unknown,UK,2831,Basic,01-02-2024,,,,,,,,,,
John,UK,5156,Premium,01-01-2024,,,,,,,,,,
John,India,1128,Standard,03-05-2024,,,,,,,,,,
John,India,306,Premium,01-02-2024,,,,,,,,,,
Amit,Unknown,1584,Premium,03-05-2024,,,,,,,,,,
Praful,Unknown,5216,Basic,01-02-2024,,,,,,,,,,
Unknown,UK,6474,Basic,03-05-2024,,,,,,,,,,
John,India,1159,Basic,03-05-2024,,,,,,,,,,
John,UK,3257,Basic,01-02-2024,,,,,,,,,,
